Sample,Date,Site,Year,Season,Replicate,Treatment,Site-Temperature,Mean-Temperature,Max-Temperature,Min-Temperature,picea,Visited_picea,scabrinodis,ruginodis,Myrmica,Visited_Myrmica,Lost-Sample,Eaten-Sample
BK-2017-1-1-Protein,29/06/2017,BK,2017,1,1,Protein,24,18.1,24.9,11.0,4,1,0,0,0,0,0,0
BK-2017-1-2-Protein,29/06/2017,BK,2017,1,2,Protein,24,18.1,24.9,11.0,20,1,0,0,0,0,0,0
BK-2017-1-3-Protein,29/06/2017,BK,2017,1,3,Protein,24,18.1,24.9,11.0,0,0,0,0,0,0,0,0
BK-2017-1-4-Protein,29/06/2017,BK,2017,1,4,Protein,24,18.1,24.9,11.0,3,1,0,0,0,0,0,0
BK-2017-1-5-Protein,29/06/2017,BK,2017,1,5,Protein,24,18.1,24.9,11.0,6,1,0,0,0,0,0,0
BK-2017-1-6-Protein,29/06/2017,BK,2017,1,6,Protein,24,18.1,24.9,11.0,1,1,0,0,0,0,0,0
BK-2017-1-7-Protein,29/06/2017,BK,2017,1,7,Protein,24,18.1,24.9,11.0,5,1,0,0,0,0,0,0
BK-2017-1-8-Protein,29/06/2017,BK,2017,1,8,Protein,24,18.1,24.9,11.0,2,1,0,0,0,0,0,0
BK-2017-1-9-Protein,29/06/2017,BK,2017,1,9,Protein,24,18.1,24.9,11.0,9,1,0,0,0,0,0,0
BK-2017-1-10-Protein,29/06/2017,BK,2017,1,10,Protein,24,18.1,24.9,11.0,6,1,0,0,0,0,0,0
BK-2017-1-11-Protein,29/06/2017,BK,2017,1,11,Protein,24,18.1,24.9,11.0,14,1,0,0,0,0,0,0
BK-2017-1-12-Protein,29/06/2017,BK,2017,1,12,Protein,24,18.1,24.9,11.0,25,1,0,0,0,0,0,0
BK-2017-1-13-Protein,29/06/2017,BK,2017,1,13,Protein,24,18.1,24.9,11.0,8,1,0,0,0,0,0,0
BK-2017-1-14-Protein,29/06/2017,BK,2017,1,14,Protein,24,18.1,24.9,11.0,10,1,0,0,0,0,0,0
BK-2017-1-15-Protein,29/06/2017,BK,2017,1,15,Protein,24,18.1,24.9,11.0,6,1,0,0,0,0,0,0
